submission_dir,name,org,os_model,os_system,report,n_resolved,n_no_generation,n_no_logs,n_resolved_in_500,resolution_rate
20231010_rag_claude2,RAG + Claude 2,,False,True,,22,1,0,22,0.044
20231010_rag_gpt35,RAG + ChatGPT 3.5,SWE-agent,False,True,,2,0,0,2,0.004
20231010_rag_swellama13b,RAG + SWE-Llama 13B,SWE-agent,False,True,,6,2,0,6,0.012
20231010_rag_swellama7b,RAG + SWE-Llama 7B,SWE-agent,False,True,,7,2,0,7,0.014
20240402_rag_claude3opus,RAG + Claude 3 Opus,,False,True,,35,0,0,35,0.07
20240402_rag_gpt4,RAG + GPT 4 (1106),,False,True,,14,0,0,14,0.028
20240402_sweagent_claude3opus,SWE-agent + Claude 3 Opus,SWE-agent,False,True,,79,41,0,79,0.158
20240402_sweagent_gpt4,SWE-agent + GPT 4 (1106),SWE-agent,False,True,,112,30,0,112,0.224
20240509_amazon-q-developer-agent-20240430-dev,Amazon Q Developer Agent (v20240430-dev),AWS,False,False,,128,3,0,128,0.256
20240612_MASAI_gpt4o,MASAI + GPT 4o (2024-06-12),,False,False,,163,22,4,163,0.326
20240615_appmap-navie_gpt4o,AppMap Navie + GPT 4o (2024-05-13),,False,True,,131,5,0,131,0.262
20240617_factory_code_droid,Factory Code Droid,,False,False,,185,0,0,185,0.37
20240620_sweagent_claude3.5sonnet,SWE-agent + Claude 3.5 Sonnet,SWE-agent,False,True,,168,11,3,168,0.336
20240628_autocoderover-v20240620,AutoCodeRover (v20240620) + GPT 4o (2024-05-13),,False,False,,192,0,0,192,0.384
20240721_amazon-q-developer-agent-20240719-dev,Amazon Q Developer Agent (v20240719-dev),AWS,False,False,,194,1,0,194,0.388
20240728_sweagent_gpt4o,SWE-agent + GPT 4o (2024-05-13),SWE-agent,False,True,,116,50,3,116,0.232
20240820_epam-ai-run-gpt-4o,EPAM AI/Run Developer Agent + GPT4o,,False,False,,120,18,2,120,0.24
20240820_honeycomb,Honeycomb,,False,False,,203,14,47,203,0.406
20240824_gru,Gru(2024-08-24),,False,False,,226,0,2,226,0.452
20240918_lingma-agent_lingma-swe-gpt-72b,Lingma Agent + Lingma SWE-GPT 72b (v0918),Alibaba,False,True,https://arxiv.org/abs/2406.01422,125,15,2,125,0.25
20240918_lingma-agent_lingma-swe-gpt-7b,Lingma Agent + Lingma SWE-GPT 7b (v0918),Alibaba,False,True,https://arxiv.org/abs/2406.01422,51,39,2,51,0.102
20240920_solver,Solver (2024-09-12),,False,False,,218,4,0,218,0.436
20240924_solver,Solver (2024-09-12),,False,False,,227,2,0,227,0.454
20241001_nfactorial,nFactorial (2024-10-01),,False,False,,129,20,0,129,0.258
20241002_lingma-agent_lingma-swe-gpt-72b,Lingma Agent + Lingma SWE-GPT 72b (v0925),Alibaba,False,True,,144,8,1,144,0.288
20241002_lingma-agent_lingma-swe-gpt-7b,Lingma Agent + Lingma SWE-GPT 7b (v0925),Alibaba,False,True,,91,86,2,91,0.182
20241007_nfactorial,nFactorial (2024-10-07),,False,False,,158,22,0,158,0.316
20241016_composio_swekit,Composio SWEkit + Claude 3.5 Sonnet (2024-10-16),,False,True,,203,0,0,203,0.406
20241016_epam-ai-run-gpt-4o,EPAM AI/Run Developer Agent + GPT4o,,False,False,,135,12,0,135,0.27
20241022_tools_claude-3-5-haiku,Tools + Claude 3.5 Haiku,Anthropic,False,False,,203,16,3,203,0.406
20241022_tools_claude-3-5-sonnet-updated,Tools + Claude 3.5 Sonnet (2024-10-22),Anthropic,False,False,,245,14,3,245,0.49
20241023_emergent,Emergent E1 (v2024-10-12),,False,False,,233,2,0,233,0.466
20241025_composio_swekit,Composio SWE-Kit (2024-10-25),,False,True,,243,1,0,243,0.486
20241028_agentless-1.5_gpt4o,Agentless-1.5 + GPT 4o (2024-05-13),Agentless,False,True,https://github.com/OpenAutoCoder/Agentless/releases/tag/v1.5.0,194,4,0,194,0.388
20241028_solver,Solver (2024-10-28),,False,False,,250,1,0,250,0.5
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,OpenHands + CodeAct v2.1 (claude-3-5-sonnet-20241022),OpenHands,False,True,https://www.all-hands.dev/blog/openhands-codeact-21-an-open-state-of-the-art-software-development-agent,265,6,1,265,0.53
20241029_epam-ai-run-claude-3-5-sonnet,EPAM AI/Run Developer Agent v20241029 + Anthopic Claude 3.5 Sonnet,,False,False,,198,25,0,198,0.396
